FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z,is_grasped
1,2024-08-09T16:56:33.4377897+03:30,-10,-13,119,16,16,-17,-22,100,-0.323845059,0.3853579,1.91932392,0.313285381,-0.261509746,2.50081682,-0.312356472,0.308656931,2.13914442,0.183820039,-0.0306716859,2.52610064,-0.2442776,0.239668712,2.36456,0.07886076,0.219810545,2.48289084,0,0,0,0,0,0,0,0,0,0,0,0,221.3166656494141,346.54364013671875,154.88763427734375,337.0390319824219,1.5889,1.5192,-1
2,2024-08-09T16:56:33.4585511+03:30,-11,-13,116,15,16,-17,-23,100,-0.3244009,0.385557175,1.921579,0.309377134,-0.2582241,2.50271773,-0.3123279,0.308621,2.13925457,0.183595523,-0.0303585418,2.52557445,-0.244570851,0.239614636,2.36448526,0.07824932,0.2200291,2.48205,0,0,0,0,0,0,0,0,0,0,0,0,221.4449462890625,346.5399169921875,154.69375610351562,336.97021484375,1.5937463487058992,1.5192,-1
3,2024-08-09T16:56:33.4876882+03:30,-12,-13,115,15,16,-17,-23,100,-0.324861467,0.3857188,1.92345,0.305591732,-0.255046219,2.503881,-0.3123214,0.308582,2.13936543,0.1832892,-0.0300873369,2.525055,-0.244821474,0.239574865,2.36442566,0.07760644,0.220214546,2.48118138,0,0,0,0,0,0,0,0,0,0,0,0,221.3677520751953,346.6368408203125,155.02694702148438,336.96002197265625,1.5920782920677303,1.5192,-1
4,2024-08-09T16:56:33.5198236+03:30,-13,-13,113,15,16,-17,-23,100,-0.325245917,0.3858256,1.92507327,0.302770436,-0.254626721,2.504274,-0.312301874,0.3085235,2.13953328,0.182928324,-0.0299348477,2.524512,-0.245082915,0.239557236,2.36437821,0.0770458356,0.220372438,2.480413,0,0,0,0,0,0,0,0,0,0,0,0,221.4922790527344,346.3611755371094,154.7454071044922,337.1443786621094,1.5937926529133002,1.5192,-1
5,2024-08-09T16:56:33.5539338+03:30,-13,-13,112,14,16,-17,-23,100,-0.3255835,0.38588503,1.9264257,0.3005147,-0.2551002,2.50434136,-0.312289178,0.308467716,2.13968253,0.182482675,-0.0299117211,2.52370954,-0.245398015,0.2395551,2.36433744,0.07652621,0.2205411,2.47971177,0,0,0,0,0,0,0,0,0,0,0,0,221.3807067871093,346.2338256835937,154.8517608642578,336.9792785644531,1.5927017032923394,1.5192,-1
6,2024-08-09T16:56:33.5881350+03:30,-14,-13,110,14,16,-17,-23,100,-0.325885057,0.385919183,1.92754769,0.298573315,-0.255976647,2.50388551,-0.31227836,0.3084235,2.13980341,0.182017922,-0.0299835149,2.52273822,-0.245724589,0.239563435,2.36430073,0.0760628656,0.220711365,2.479089,0,0,0,0,0,0,0,0,0,0,0,0,221.24664306640625,346.45733642578125,154.80429077148438,337.01806640625,1.5938351540848583,1.5192,-1
7,2024-08-09T16:56:33.6193982+03:30,-14,-13,109,14,16,-17,-23,100,-0.326148331,0.3859278,1.92848158,0.2967022,-0.2573816,2.50223,-0.312270135,0.3083851,2.13990188,0.181536481,-0.0301057678,2.521762,-0.24603802,0.239578173,2.36427331,0.07565356,0.220881671,2.478536,0,0,0,0,0,0,0,0,0,0,0,0,221.2443084716797,346.7677307128906,154.8106689453125,336.96466064453125,1.592960251306847,1.5192,-1
8,2024-08-09T16:56:33.6509004+03:30,-15,-13,107,14,16,-17,-23,100,-0.326390058,0.38591662,1.9292326,0.295054734,-0.259055585,2.50024915,-0.312257349,0.308363,2.13995743,0.1810209,-0.0302729681,2.520859,-0.246335,0.239592731,2.36425185,0.07528213,0.221027553,2.4780097,0,0,0,0,0,0,0,0,0,0,0,0,221.33108520507807,346.6278381347656,154.8396759033203,336.9805603027344,1.5938730539658763,1.5192,-1
9,2024-08-09T16:56:33.6843050+03:30,-15,-13,109,15,16,-17,-22,100,-0.326627165,0.3858691,1.929795,0.293593,-0.2608847,2.49820685,-0.3122455,0.3083467,2.13994527,0.180469483,-0.030457139,2.520047,-0.2466212,0.239595935,2.36422873,0.07493183,0.221165389,2.477505,0,0,0,0,0,0,0,0,0,0,0,0,221.33349609375,346.4833374023437,154.8638458251953,336.99346923828125,1.593097473032791,1.5192,-1
10,2024-08-09T16:56:33.7182325+03:30,-15,-13,108,15,16,-17,-22,100,-0.326877236,0.385755479,1.93020678,0.2922983,-0.262750536,2.49625635,-0.3122345,0.308330953,2.13989472,0.179907233,-0.0306731127,2.51926661,-0.246892616,0.239591584,2.36420584,0.07460797,0.221287772,2.47702312,0,0,0,0,0,0,0,0,0,0,0,0,221.39865112304688,346.8094482421875,154.758544921875,336.88653564453125,1.5924694113075282,1.5203970282507715,-1
