FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T16:59:21.1097994+03:30,-64,-53,76,70,30,44,-34,70,-0.365292072,0.09565254,2.00607181,0.236769021,0.0158108473,2.087627,-0.36507383,0.0865091,2.25880718,0.236330926,0.0384649448,2.378654,-0.254340857,0.219998747,2.395608,0.110821351,0.215480417,2.44212151,0,0,0,0,0,0,0,0,0,0,0,0,225.19003295898438,347.4620056152344,160.435302734375,337.03436279296875
2,2024-08-09T16:59:21.1371064+03:30,-62,-50,75,70,29,40,-34,67,-0.361115068,0.107300505,1.997614,0.235065877,0.03338553,2.07482767,-0.361150384,0.0980502144,2.24781847,0.236667424,0.0434542224,2.367607,-0.253402084,0.220457271,2.39605522,0.110950254,0.2155966,2.44135284,0,0,0,0,0,0,0,0,0,0,0,0,225.36041259765625,347.1131591796875,160.38400268554688,337.05401611328125
3,2024-08-09T16:59:21.1722541+03:30,-59,-45,74,69,28,35,-34,64,-0.357746273,0.118670695,1.98986614,0.233374476,0.0487656035,2.063125,-0.356235147,0.109064013,2.23785543,0.236368358,0.04818098,2.35725164,-0.252192616,0.22090359,2.39632344,0.110889494,0.215870261,2.44034314,0,0,0,0,0,0,0,0,0,0,0,0,225.2802734375,347.7075500488281,160.54998779296875,336.94873046875
4,2024-08-09T16:59:21.2055723+03:30,-56,-41,73,68,27,31,-34,61,-0.35482204,0.1295828,1.98258746,0.231796056,0.06200621,2.05243945,-0.351046264,0.119565636,2.22860765,0.235625878,0.0525925681,2.34766817,-0.250662029,0.221329764,2.39645028,0.110664643,0.216241747,2.43916225,0,0,0,0,0,0,0,0,0,0,0,0,225.3258056640625,347.1820068359375,160.28768920898438,337.13323974609375
5,2024-08-09T16:59:21.2380674+03:30,-54,-37,73,67,26,27,-33,58,-0.3523615,0.140143141,1.97433221,0.230071321,0.07283583,2.04299474,-0.345763445,0.12993145,2.21993637,0.234606534,0.0563729,2.33919573,-0.248983324,0.22175777,2.39644551,0.110303737,0.21665895,2.43788362,0,0,0,0,0,0,0,0,0,0,0,0,225.27386474609375,347.541015625,160.51544189453125,337.12237548828125
6,2024-08-09T16:59:21.2697690+03:30,-52,-34,72,66,25,24,-33,56,-0.350153625,0.150741026,1.96703315,0.227683336,0.0798389,2.03484559,-0.340625554,0.13994804,2.21158862,0.233419955,0.05928422,2.33210969,-0.247245118,0.222183168,2.39630079,0.109899342,0.217092142,2.436639,0,0,0,0,0,0,0,0,0,0,0,0,224.93695068359375,347.5721740722656,160.19789123535156,336.9731750488281
7,2024-08-09T16:59:21.3066982+03:30,-51,-31,71,65,24,21,-33,55,-0.348243177,0.161925346,1.95735633,0.224894375,0.08302864,2.02829361,-0.335863739,0.149308473,2.20392251,0.231948644,0.06102149,2.32663178,-0.245544642,0.222562432,2.39606929,0.109502859,0.217503622,2.43549013,0,0,0,0,0,0,0,0,0,0,0,0,225.07037353515625,347.51898193359375,160.48681640625,336.99578857421875
8,2024-08-09T16:59:21.3368326+03:30,-50,-29,70,64,23,18,-32,54,-0.346364528,0.173112363,1.95029747,0.221794918,0.082237944,2.02284527,-0.3315936,0.157899842,2.19704938,0.230563909,0.06244548,2.321945,-0.24394618,0.222904116,2.39581561,0.1091432,0.217883,2.43447852,0,0,0,0,0,0,0,0,0,0,0,0,225.24319458007812,347.4051208496094,160.30722045898438,336.9906921386719
9,2024-08-09T16:59:21.3736020+03:30,-50,-27,68,63,22,16,-32,53,-0.344584584,0.183762059,1.94497263,0.218440458,0.07695783,2.019106,-0.327830076,0.165768668,2.19097781,0.229171261,0.0636101961,2.31788731,-0.242474437,0.223206535,2.39556217,0.108884662,0.218161941,2.43376946,0,0,0,0,0,0,0,0,0,0,0,0,225.00770568847656,347.4501037597656,160.45455932617188,337.128662109375
10,2024-08-09T16:59:21.4061723+03:30,-50,-25,67,61,21,14,-31,53,-0.34280616,0.19352743,1.941541,0.215203419,0.06776871,2.01900148,-0.324641556,0.172923252,2.18638515,0.227476642,0.06370123,2.31528282,-0.2411398,0.2234741,2.39532065,0.108651727,0.218232214,2.43339872,0,0,0,0,0,0,0,0,0,0,0,0,225.1259765625,347.47564697265625,160.5635223388672,336.860595703125
11,2024-08-09T16:59:21.4391460+03:30,-48,-24,65,58,21,12,-31,52,-0.3411367,0.202636763,1.93941009,0.212352052,0.0545971654,2.02197123,-0.322063416,0.179455116,2.18287253,0.2254492,0.0627039745,2.31405663,-0.239941955,0.223701462,2.39509,0.108455218,0.218109772,2.43346143,0,0,0,0,0,0,0,0,0,0,0,0,225.14703369140625,347.5562744140625,160.10504150390625,337.16925048828125
12,2024-08-09T16:59:21.4690440+03:30,-48,-22,64,57,20,10,-30,53,-0.339638561,0.211221665,1.93821216,0.210554987,0.03872816,2.028407,-0.3200885,0.185458243,2.18018651,0.223159775,0.06047361,2.31512642,-0.238871321,0.223896921,2.39487147,0.108288743,0.217900738,2.434008,0,0,0,0,0,0,0,0,0,0,0,0,225.29293823242188,347.6427001953125,160.1512451171875,337.06683349609375
13,2024-08-09T16:59:21.5009171+03:30,-47,-22,63,55,20,9,-30,54,-0.338353723,0.21947287,1.93771148,0.21010305,0.02076323,2.03805542,-0.318628341,0.191019326,2.17812562,0.220883951,0.05723163,2.3179214,-0.237914339,0.224064037,2.39465618,0.108146869,0.217668444,2.435014,0,0,0,0,0,0,0,0,0,0,0,0,225.25540161132812,347.62750244140625,160.4774169921875,337.118896484375
14,2024-08-09T16:59:21.5343761+03:30,-44,-21,62,52,20,7,-29,55,-0.337289065,0.227379426,1.93771076,0.21134536,0.00193269283,2.05085444,-0.3176006,0.196172491,2.17654133,0.218805119,0.053244818,2.32230067,-0.237061426,0.224204212,2.39443827,0.1080219,0.217472583,2.4363687,0,0,0,0,0,0,0,0,0,0,0,0,225.06570434570312,347.54095458984375,160.24118041992188,337.060302734375
15,2024-08-09T16:59:21.5659718+03:30,-44,-21,63,50,20,6,-28,57,-0.336425,0.234870359,1.93804061,0.214520037,-0.0171673875,2.06642723,-0.3169179,0.200954229,2.17531753,0.217196152,0.0485683,2.328008,-0.2363024,0.224327147,2.39421368,0.107908137,0.217328951,2.43794847,0,0,0,0,0,0,0,0,0,0,0,0,225.05245971679688,347.32086181640625,160.41700744628906,337.02545166015625
