FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY
1,2024-08-09T17:00:13.6208493+03:30,-16,-13,-56,14,21,-8,-25,95,-0.2988207,0.3145421,1.9443382,0.3616602,-0.272146553,2.6267972,-0.263941467,0.266377419,2.17826,0.277542561,-0.00766237965,2.54671454,-0.171542585,0.234847784,2.41605735,0.167772979,0.228101164,2.52454948,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-08-09T17:00:13.6417889+03:30,-21,-14,-56,14,21,-7,-25,95,-0.298800737,0.314858377,1.94419849,0.362919748,-0.272867054,2.625015,-0.2640753,0.2661446,2.17799878,0.280664057,-0.0131080458,2.5472002,-0.1715547,0.234852076,2.41597748,0.168014437,0.228225142,2.52470827,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-08-09T17:00:13.6743929+03:30,-21,-14,-55,14,21,-7,-25,95,-0.298783839,0.315188617,1.94400966,0.363995969,-0.273412853,2.62349534,-0.264228642,0.2659318,2.177702,0.2833094,-0.01748473,2.5473485,-0.171589345,0.2348675,2.415894,0.168232918,0.228509873,2.5249362,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-08-09T17:00:13.7082619+03:30,-21,-14,-55,14,21,-7,-25,95,-0.298771679,0.315495461,1.94383729,0.36479032,-0.2736889,2.622219,-0.264373332,0.265741676,2.177437,0.285688251,-0.0211297628,2.5469532,-0.171627387,0.234876245,2.415795,0.168408126,0.228735983,2.52491975,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-08-09T17:00:13.7434793+03:30,-22,-14,-55,13,21,-7,-25,95,-0.298763484,0.31572178,1.943949,0.3680893,-0.2722422,2.61631131,-0.264432967,0.265495479,2.177451,0.287623167,-0.0242777988,2.546558,-0.171665743,0.234860078,2.41566348,0.168603346,0.228926241,2.52490449,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-08-09T17:00:13.7760986+03:30,-22,-14,-55,11,21,-7,-25,95,-0.298732936,0.316020668,1.94411647,0.371930927,-0.2701167,2.60925937,-0.264522284,0.265239745,2.1775012,0.2879256,-0.0242719986,2.54533243,-0.171732992,0.234845638,2.41553044,0.168748528,0.229089558,2.52473569,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-08-09T17:00:13.8123379+03:30,-23,-14,-59,11,21,-7,-25,94,-0.29870066,0.316349119,1.944228,0.374992073,-0.266690135,2.60232568,-0.264646262,0.265023142,2.17749453,0.287403554,-0.0228713676,2.543793,-0.171809062,0.234836608,2.41540241,0.168849692,0.2292903,2.524527,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-08-09T17:00:13.8425782+03:30,-23,-14,-60,10,21,-7,-25,94,-0.298675954,0.316696554,1.94430709,0.376431584,-0.264963448,2.59882832,-0.264787525,0.26483655,2.17745018,0.286551833,-0.0209158286,2.54224467,-0.171883,0.234828845,2.41527343,0.168971866,0.2295835,2.52444935,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-08-09T17:00:13.8790950+03:30,-24,-14,-60,10,21,-7,-25,94,-0.298724145,0.31708613,1.94422793,0.377046227,-0.2645075,2.59741688,-0.264936715,0.2647147,2.17724252,0.286800742,-0.020598691,2.54090977,-0.171973437,0.234875381,2.41516566,0.169103339,0.229903132,2.5244472,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-08-09T17:00:13.9107768+03:30,-24,-14,-60,9,21,-7,-25,94,-0.298822939,0.31750825,1.9440223,0.378888458,-0.264127165,2.59399486,-0.265090942,0.2646431,2.176908,0.2875625,-0.0212410744,2.53986883,-0.172068357,0.234947622,2.415072,0.169236779,0.230186775,2.52446175,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-08-09T17:00:13.9478767+03:30,-25,-14,-64,9,21,-7,-25,93,-0.2989503,0.317944676,1.94375682,0.380978137,-0.2620316,2.58839083,-0.265245378,0.264599264,2.17651176,0.287756562,-0.0211894829,2.538892,-0.172158986,0.235029355,2.41498375,0.169361517,0.230441079,2.52448034,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-08-09T17:00:13.9790171+03:30,-25,-14,-63,8,21,-7,-25,93,-0.299084336,0.318359524,1.94346046,0.383846253,-0.261436075,2.58150387,-0.265401781,0.264589757,2.176102,0.288267761,-0.0219308827,2.538221,-0.172243312,0.2351122,2.414896,0.169475719,0.230681688,2.52449179,0,0,0,0,0,0,0,0,0,0,0,0
13,2024-08-09T17:00:14.0153747+03:30,-25,-14,-62,6,21,-7,-25,93,-0.2992194,0.31862855,1.94311023,0.386699975,-0.2610467,2.57419014,-0.26555416,0.264562219,2.17566919,0.2880858,-0.0214524847,2.53750086,-0.172319412,0.235192969,2.4148078,0.169478312,0.2308146,2.524151,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-08-09T17:00:14.0464150+03:30,-25,-14,-62,5,21,-7,-25,93,-0.299340665,0.318741232,1.94270182,0.389064431,-0.260426164,2.56862855,-0.265711129,0.2644807,2.17520952,0.2881849,-0.02191919,2.53726,-0.172388554,0.23526831,2.41471529,0.169447809,0.2308661,2.52365637,0,0,0,0,0,0,0,0,0,0,0,0
15,2024-08-09T17:00:14.0806904+03:30,-25,-14,-62,4,21,-7,-25,93,-0.299505383,0.3186758,1.942257,0.389871061,-0.2603867,2.56644869,-0.265871882,0.264345944,2.1747427,0.288499951,-0.02294909,2.53728056,-0.172454163,0.23533228,2.41460872,0.169415981,0.230877146,2.523125,0,0,0,0,0,0,0,0,0,0,0,0
16,2024-08-09T17:00:14.1116106+03:30,-25,-14,-61,3,21,-7,-25,93,-0.2996961,0.318426043,1.9418304,0.390969038,-0.260160953,2.56330657,-0.266019136,0.264147073,2.17431664,0.28823474,-0.022705134,2.5372014,-0.17251347,0.2353812,2.41448641,0.169387057,0.230867639,2.522602,0,0,0,0,0,0,0,0,0,0,0,0
17,2024-08-09T17:00:14.1441275+03:30,-25,-14,-58,3,21,-7,-25,93,-0.299927026,0.317988247,1.94146681,0.392301232,-0.2602641,2.55981421,-0.2661762,0.263837159,2.17396855,0.28819716,-0.023247702,2.537481,-0.17256847,0.235420883,2.41435742,0.1693627,0.23084709,2.5221014,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-08-09T17:00:14.1755817+03:30,-25,-14,-22,1,21,-7,-25,94,-0.300218,0.317299128,1.94118106,0.393636256,-0.260273039,2.55630279,-0.266318023,0.2634385,2.17372417,0.28831026,-0.0242718682,2.5379858,-0.172618791,0.23545213,2.41421986,0.169345558,0.230824813,2.521639,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-08-09T17:00:14.2100629+03:30,-25,-14,38,1,21,-7,-25,94,-0.300712138,0.315941781,1.94089377,0.394965768,-0.259837,2.55267072,-0.266446531,0.2629889,2.17354965,0.2886025,-0.0255510043,2.538514,-0.172677159,0.235483676,2.414083,0.1693325,0.230809614,2.521213,0,0,0,0,0,0,0,0,0,0,0,0
20,2024-08-09T17:00:14.2441324+03:30,-27,-14,81,1,21,-6,-25,94,-0.301357031,0.31409663,1.94061792,0.3964454,-0.2595919,2.5484848,-0.266564757,0.262497276,2.17342854,0.288298666,-0.0254578851,2.538624,-0.172755,0.23553443,2.41394758,0.169328466,0.23080337,2.52083015,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-08-09T17:00:14.2747445+03:30,-26,-14,89,2,21,-6,-25,94,-0.3021018,0.311908871,1.94034588,0.397556722,-0.2601003,2.54641867,-0.266669661,0.261983633,2.173336,0.288440555,-0.025763955,2.538474,-0.172863588,0.2356189,2.413823,0.169330075,0.230802357,2.52048588,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-08-09T17:00:14.3080690+03:30,-24,-14,90,2,21,-6,-25,94,-0.3029107,0.309327,1.94011545,0.3979582,-0.26067248,2.5461216,-0.266774416,0.261408955,2.17330623,0.288070381,-0.0249657258,2.53834677,-0.1729981,0.235734046,2.41371417,0.169289485,0.230803147,2.520108,0,0,0,0,0,0,0,0,0,0,0,0
