FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z
1,2024-08-09T18:33:15.3590919+03:30,-38,-29,46,31,25,-4,-20,88,-0.491576672,0.27788654,1.99980927,-0.04676239,-0.2728947,2.40004373,-0.485909224,0.2020651,2.19237471,-0.0348675251,-0.0260408334,2.5086,-0.380488753,0.184572488,2.420141,-0.101820946,0.157547787,2.51410246,0,0,0,0,0,0,0,0,0,0,0,0,170.24313354492188,347.4825134277344,254.0813751220703,338.11822509765625,1.5528,1.5024
2,2024-08-09T18:33:15.4089352+03:30,-38,-29,46,31,25,-4,-20,88,-0.491758645,0.2778165,2.00022674,-0.04675418,-0.272552758,2.40028787,-0.486162454,0.202049166,2.192686,-0.0349912159,-0.0257659554,2.50858068,-0.380497,0.184639424,2.420081,-0.101833574,0.157745719,2.51421356,0,0,0,0,0,0,0,0,0,0,0,0,170.2489013671875,347.4915771484375,254.1270904541016,338.1803283691406,1.5528,1.5024
3,2024-08-09T18:33:15.4762981+03:30,-38,-29,46,31,25,-4,-20,88,-0.491949171,0.277753472,2.00078058,-0.0467746146,-0.272173345,2.40046763,-0.48640883,0.201938242,2.19308758,-0.0351179726,-0.0254799183,2.50855327,-0.380570054,0.1847776,2.420196,-0.101873234,0.157938287,2.51425862,0,0,0,0,0,0,0,0,0,0,0,0,170.2045135498047,347.44976806640625,253.8548889160156,338.1625366210937,1.5528,1.5024
4,2024-08-09T18:33:15.5076129+03:30,-39,-29,46,31,25,-4,-20,88,-0.492004275,0.2777563,2.00109243,-0.0467893444,-0.27196157,2.400524,-0.486540228,0.201852128,2.19329572,-0.0351809934,-0.0253283363,2.508535,-0.3806901,0.184918836,2.420347,-0.101893522,0.15804258,2.514289,0,0,0,0,0,0,0,0,0,0,0,0,170.2766876220703,347.54278564453125,253.7524261474609,338.1361999511719,1.5528,1.5024
5,2024-08-09T18:33:15.5439813+03:30,-39,-29,46,31,25,-4,-20,88,-0.492077827,0.27768442,2.00143957,-0.0468014181,-0.271744132,2.40055513,-0.486694545,0.201716557,2.19354868,-0.0352419764,-0.025179429,2.50850844,-0.380822152,0.1850286,2.42045379,-0.101911567,0.158144116,2.51432419,0,0,0,0,0,0,0,0,0,0,0,0,170.3589630126953,347.4984741210937,253.97119140625,338.1011657714844,1.5528,1.5104
6,2024-08-09T18:33:15.5755843+03:30,-39,-29,46,31,25,-4,-20,88,-0.49216646,0.27755,2.00183058,-0.0468083322,-0.2715236,2.40057588,-0.486859977,0.201539338,2.19385242,-0.03530246,-0.0250323284,2.50847864,-0.3809524,0.185117453,2.42053485,-0.101929113,0.158242628,2.514362,0,0,0,0,0,0,0,0,0,0,0,0,170.31289672851562,347.527587890625,253.78543090820312,338.16632080078125,1.5528,1.5024
7,2024-08-09T18:33:15.6137460+03:30,-39,-29,46,31,25,-4,-20,88,-0.492276549,0.277321547,2.00220585,-0.0468173549,-0.271300673,2.40058446,-0.487027556,0.201344743,2.19417048,-0.03536879,-0.0248899963,2.50844884,-0.381090134,0.185204521,2.420652,-0.101945326,0.158337429,2.51440477,0,0,0,0,0,0,0,0,0,0,0,0,170.27493286132812,347.53350830078125,254.02159118652344,338.31396484375,1.5528,1.5024
8,2024-08-09T18:33:15.6423506+03:30,-38,-29,46,31,25,-4,-20,88,-0.492352217,0.277019739,2.002545,-0.04682978,-0.271069467,2.40057659,-0.48720327,0.20114091,2.19447827,-0.0354384445,-0.0247483961,2.50841928,-0.3812224,0.185265973,2.420767,-0.101961412,0.158431,2.51444912,0,0,0,0,0,0,0,0,0,0,0,0,170.2234344482422,347.6122131347656,253.9977569580078,338.07080078125,1.5528,1.5024
9,2024-08-09T18:33:15.6741035+03:30,-38,-29,46,31,25,-4,-20,88,-0.492409974,0.2766673,2.00284338,-0.0468421429,-0.270834237,2.40055966,-0.487386733,0.200938731,2.19476533,-0.0355086662,-0.0246093124,2.508391,-0.38135,0.185313344,2.42088461,-0.101975933,0.158520728,2.51449227,0,0,0,0,0,0,0,0,0,0,0,0,170.18414306640625,347.58056640625,254.02294921875,338.2828369140625,1.5528,1.5024
10,2024-08-09T18:33:15.7118213+03:30,-38,-29,46,31,25,-4,-20,88,-0.492469847,0.276282072,2.0031,-0.0468547828,-0.2705902,2.400537,-0.487605631,0.200728238,2.19501972,-0.03559347,-0.0244579669,2.508344,-0.3814898,0.185354948,2.42103219,-0.102030791,0.1586122,2.51452184,0,0,0,0,0,0,0,0,0,0,0,0,170.22518920898438,347.67803955078125,253.862548828125,338.1229248046875,1.5528,1.5024
11,2024-08-09T18:33:15.7453328+03:30,-38,-29,46,31,25,-4,-20,88,-0.493325,0.2756672,2.00340462,-0.0468474962,-0.27028212,2.400559,-0.487935156,0.200410843,2.1953156,-0.0356110968,-0.024269281,2.50839949,-0.381637573,0.185392961,2.4211998,-0.102113254,0.158693,2.51453781,0,0,0,0,0,0,0,0,0,0,0,0,170.20645141601562,347.417236328125,254.077880859375,338.239501953125,1.5528,1.5024
12,2024-08-09T18:33:15.7779291+03:30,-38,-29,46,31,25,-4,-20,88,-0.494524568,0.274976462,2.00386333,-0.04682746,-0.269942462,2.40061,-0.4885142,0.199810445,2.19568086,-0.0355876833,-0.024063807,2.50851464,-0.3818916,0.185476318,2.42148614,-0.102207243,0.158763349,2.514545,0,0,0,0,0,0,0,0,0,0,0,0,170.30026245117188,347.4076538085937,253.9921875,338.1907653808594,1.5528,1.5104
13,2024-08-09T18:33:15.8110263+03:30,-40,-29,46,31,25,-3,-20,88,-0.4958559,0.2742233,2.00451779,-0.0467962474,-0.2695862,2.40067554,-0.48936978,0.198881865,2.19614077,-0.0355407335,-0.0238505136,2.508663,-0.382219285,0.185569853,2.42185879,-0.102305591,0.158826649,2.51454616,0,0,0,0,0,0,0,0,0,0,0,0,170.27035522460938,347.464111328125,254.0697479248047,338.214111328125,1.5528,1.5024
14,2024-08-09T18:33:15.8438192+03:30,-40,-30,46,31,26,-3,-20,88,-0.4972036,0.273324162,2.00539184,-0.04675313,-0.269236237,2.40075517,-0.4905625,0.197595716,2.19674158,-0.0354812033,-0.0236449391,2.50882673,-0.382595837,0.185599089,2.42225,-0.10238944,0.158882871,2.51456451,0,0,0,0,0,0,0,0,0,0,0,0,170.3815155029297,347.52655029296875,254.0998687744141,338.11541748046875,1.5528,1.5024
15,2024-08-09T18:33:15.8804805+03:30,-40,-30,46,31,26,-3,-20,88,-0.498553723,0.272144467,2.00650334,-0.0467013828,-0.268897861,2.400843,-0.4920508,0.195969179,2.19756532,-0.0354084373,-0.0234517418,2.508998,-0.383000135,0.18557553,2.42263556,-0.102464356,0.158922717,2.51457334,0,0,0,0,0,0,0,0,0,0,0,0,170.22265625,347.50146484375,254.21939086914065,338.0150756835937,1.5528,1.5104
